,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,Hg,Pb,Sr
105f.1,153.05208333333334,502.6041666666667,1239.8333333333333,550.9375,959.9010416666666,769.52734375,214.92708333333334,5415.890625,7178.095052083333,479.4791666666667,233.66796875,318.7389322916667,245.50032552083334
106,193.41666666666666,901.2252604166666,1544.5625,1128.375,1838.4166666666667,1122.12109375,371.0729166666667,15094.296549479166,6570.16015625,415.0,240.40169270833334,269.4944661458333,335.5904947916667
107f.1,178.45442708333334,635.5598958333334,2524.5208333333335,799.5625,818.5833333333334,699.90234375,201.27604166666666,3746.2981770833335,7298.575520833333,418.5032552083333,226.13899739583334,288.3671875,281.9479166666667
108f.1,219.39583333333334,745.7044270833334,1622.0833333333333,695.5625,1294.8177083333333,891.640625,305.4635416666667,7252.650716145833,7196.022135416667,433.9791666666667,314.3756510416667,303.7591145833333,230.30338541666666
109f.3,203.58333333333334,790.6927083333334,2132.8958333333335,756.8125,2033.125,878.7317708333334,303.8125,7791.242838541667,6960.832356770833,449.3229166666667,261.1875,286.51953125,290.2291666666667
110f.4,137.875,441.65625,1699.7916666666667,849.0625,897.8333333333334,767.21875,282.5625,3986.86328125,7397.429036458333,473.6458333333333,257.9521484375,279.111328125,292.2513020833333
111f.1,226.66666666666666,1023.2239583333334,1983.25,621.25,1562.140625,942.5895182291666,378.25,9489.353190104166,6941.713541666667,503.2552083333333,261.1302083333333,331.9427083333333,264.494140625
112f.4,203.70833333333334,435.9036458333333,1557.125,627.5625,908.5,834.8567708333334,236.64583333333334,5423.035807291667,7416.303385416667,422.5338541666667,309.9036458333333,246.76302083333334,320.4635416666667
113f.5,168.18229166666666,566.3984375,1738.3958333333333,760.9375,1137.8958333333333,896.2708333333334,329.3541666666667,6466.628255208333,7186.477864583333,439.654296875,257.359375,244.73958333333334,368.78125
114f.1,192.24153645833334,645.625,1657.0,1036.5,1293.0833333333333,801.5598958333334,529.53125,8053.291015625,6986.298502604167,503.5078125,293.6184895833333,359.7395833333333,261.8046875
115,181.29166666666666,551.125,1799.4166666666667,386.1875,1163.7916666666667,796.4986979166666,287.1119791666667,4316.7392578125,7231.490559895833,449.0846354166667,277.8229166666667,281.88671875,258.4375
116f.1,143.875,505.7259114583333,2404.3333333333335,592.75,1845.8020833333333,871.5651041666666,348.25,7142.100911458333,6642.719075520833,449.3981119791667,256.1184895833333,287.2223307291667,325.0677083333333
117f.6,164.875,523.0481770833334,1671.0,817.3125,815.7083333333334,769.6354166666666,325.3893229166667,4350.653971354167,7141.200520833333,464.9973958333333,284.1875,341.19921875,246.77864583333334
118,202.49869791666666,632.6875,2227.3333333333335,410.5,1176.5,808.8977864583334,253.703125,4442.021484375,7280.506184895833,368.8125,284.7786458333333,248.39713541666666,252.900390625
119f.1,153.54166666666666,588.3307291666666,1674.0,550.25,1157.59375,806.60546875,308.875,5489.509114583333,7206.0263671875,397.7239583333333,373.1458333333333,314.3235677083333,220.66666666666666
120,136.79166666666666,570.1432291666666,1960.5625,455.8125,1523.5625,789.1953125,271.7083333333333,4461.334635416667,7222.399088541667,521.1640625,271.7102864583333,285.734375,308.53125
122f.11,203.625,1147.8541666666667,1821.8333333333333,630.3125,794.8294270833334,972.7708333333334,289.1875,7604.5966796875,7100.673177083333,471.5729166666667,308.6770833333333,316.525390625,259.2083333333333
124f.1,187.3125,656.0625,1822.0416666666667,767.75,913.1979166666666,805.8046875,269.38671875,4872.271158854167,7340.812174479167,455.9791666666667,236.83333333333334,253.53971354166666,277.4954427083333
125f.1,162.375,562.974609375,1678.4791666666667,650.0,1446.2291666666667,853.8473307291666,248.45052083333334,8064.541666666667,6831.837565104167,426.7916666666667,257.2369791666667,345.7213541666667,254.37369791666666
126,169.876953125,535.6614583333334,1484.2291666666667,487.125,1232.4739583333333,817.8645833333334,393.0,5539.012369791667,7134.249348958333,422.1588541666667,267.2109375,276.4765625,234.306640625
127f.1,198.125,856.375,2065.0833333333335,504.4375,1396.1875,842.3626302083334,287.4166666666667,5672.356770833333,7216.6826171875,469.1761067708333,202.21614583333334,349.6458333333333,260.5
128f.2,244.41666666666666,1086.3645833333333,2648.0,768.75,1980.0677083333333,878.1302083333334,405.9114583333333,7588.315755208333,6895.940755208333,481.169921875,267.1588541666667,335.27734375,278.3138020833333
129f.6,157.60416666666666,523.9244791666666,1265.5833333333333,758.6875,4737.755208333333,950.76953125,484.25,9199.223958333334,6351.8505859375,717.6370442708334,303.4368489583333,292.59765625,297.2330729166667
130f.1,151.94661458333334,494.5625,1310.3958333333333,212.75,887.6197916666666,732.03515625,150.8203125,3161.5966796875,7435.156575520833,411.5625,270.1640625,299.9583333333333,277.3147786458333
132f.1,173.20833333333334,473.2916666666667,1520.0,392.5,793.1276041666666,794.9791666666666,221.83333333333334,3923.4270833333335,7381.714192708333,418.0,281.1080729166667,309.4947916666667,305.4713541666667
133f.6,207.5,908.3255208333334,2061.5833333333335,1287.4375,1484.375,885.4108072916666,400.6458333333333,6938.857096354167,6932.173177083333,440.564453125,281.8125,424.337890625,159.173828125
134f.7,208.84375,759.78125,1430.2083333333333,380.75,563.7916666666666,898.8958333333334,204.00423177083334,7385.094401041667,7149.654947916667,463.8125,309.5520833333333,291.6901041666667,312.5833333333333
136f.1,176.11979166666666,448.9375,960.0208333333334,319.5,462.3541666666667,717.91015625,151.07291666666666,2512.8548177083335,7513.880859375,485.1458333333333,314.0416666666667,285.3522135416667,296.2571614583333
